account_sender_name,country_sender,account_receiver_name,country_receiver,datetime_timestamp,amount
Walmart,France,Walmart,UK,0,3270456
Elon Musk,Spain,Renault,US,1000,6986694
McKesson,France,John Coulberg,France,2000,5721436
Activision Blizard,France,Chevron,Germany,3000,1814198
Altaran,Spain,Activision Blizard,Spain,4000,7971417
ConocoPhillips,France,Tesla,Germany,5000,8008173
ConocoPhillips,US,John Coulberg,Spain,6000,4968803
Laurent Alexandre,US,McKesson,US,7000,7277363
Walmart,US,Activision Blizard,Germany,8000,1938464
John Coulberg,Spain,Nissan,US,9000,4055244
Tesla,Germany,Altaran,Spain,10000,5095986
Laurent Alexandre,Japan,Laurent Alexandre,Germany,11000,3202074
Renault,UK,General Motos,UK,12000,8373909
Activision Blizard,UK,Laurent Alexandre,Spain,13000,7382378
Laurent Alexandre,US,John Coulberg,UK,14000,5214428
Laurent Alexandre,Spain,ConocoPhillips,France,15000,1392162
Nissan,France,Walmart,Japan,16000,9421575
Tesla,Japan,ConocoPhillips,France,17000,9486385
Altaran,US,Laurent Alexandre,Japan,18000,2672368
General Motos,Germany,Exxon Mobil,Spain,19000,1035626
Activision Blizard,Japan,Tesla,Spain,20000,9571313
Exxon Mobil,Japan,Tesla,UK,21000,2767081
Elon Musk,France,Altaran,US,22000,1794263
Walmart,Germany,McKesson,Spain,23000,9781658
Exxon Mobil,France,General Motos,Spain,24000,1065891
McKesson,UK,Tesla,Japan,25000,1030199
Tesla,Spain,Renault,UK,26000,8595390
McKesson,US,Laurent Alexandre,Japan,27000,1517212
Exxon Mobil,Germany,ConocoPhillips,US,28000,7524296
John Coulberg,Japan,Nissan,UK,29000,8444884
Activision Blizard,Japan,Altaran,Japan,30000,8884925
John Coulberg,US,Tesla,Japan,31000,8350286
Laurent Alexandre,US,Activision Blizard,France,32000,780157
McKesson,Spain,Exxon Mobil,Japan,33000,4637514
Renault,Spain,Chevron,UK,34000,5252778
Laurent Alexandre,France,Nissan,Spain,35000,7470597
John Coulberg,Japan,John Coulberg,Germany,36000,3400623
General Motos,US,Nissan,US,37000,6105264
ConocoPhillips,Germany,Altaran,Spain,38000,4449712
McKesson,Spain,Renault,Japan,39000,6701839
Exxon Mobil,UK,Elon Musk,US,40000,364591
General Motos,France,McKesson,Germany,41000,1243649
Renault,Japan,General Motos,Germany,42000,3670543
Activision Blizard,US,Altaran,UK,43000,5029556
Walmart,UK,Laurent Alexandre,Germany,44000,2730428
Tesla,Spain,Activision Blizard,UK,45000,3799949
John Coulberg,Japan,Exxon Mobil,Germany,46000,528184
Chevron,US,Tesla,Japan,47000,6963209
Renault,France,John Coulberg,UK,48000,9975285
ConocoPhillips,Germany,Tesla,US,49000,4917201
Elon Musk,Japan,McKesson,Spain,50000,128286
Activision Blizard,Spain,Elon Musk,US,51000,5917975
